cellid,rlf_count_ 1,rlf_count_ 2,rlf_count_ 3,rlf_count_ 4,rlf_count_ 5,rlf_count_ 6,rlf_count_ 7,rlf_count_ 8,rlf_count_ 9,rlf_count_10,rlf_count_11,rlf_count_12,rlf_count_13,rlf_count_14,rlf_count_15,rlf_count_16,rlf_count_17,rlf_count_18,rlf_count_19,rlf_count_20,rlf_count_21,rlf_count_22,rlf_count_23,rlf_count_24,rlf_count_25,rlf_count_26,rlf_count_27,rlf_count_28,rlf_time_ 1,rlf_time_ 2,rlf_time_ 3,rlf_time_ 4,rlf_time_ 5,rlf_time_ 6,rlf_time_ 7,rlf_time_ 8,rlf_time_ 9,rlf_time_10,rlf_time_11,rlf_time_12,rlf_time_13,rlf_time_14,rlf_time_15,rlf_time_16,rlf_time_17,rlf_time_18,rlf_time_19,rlf_time_20,rlf_time_21,rlf_time_22,rlf_time_23,rlf_time_24,rlf_time_25,rlf_time_26,rlf_time_27,rlf_time_28,spont_count_ 1,spont_count_ 2,spont_count_ 3,spont_count_ 4,spont_count_ 5,spont_count_ 6,spont_count_ 7,spont_count_ 8,spont_count_ 9,spont_count_10,spont_count_11,spont_count_12,spont_count_13,spont_count_14,spont_count_15,spont_count_16,spont_count_17,spont_count_18,spont_count_19,spont_count_20,spont_count_21,spont_count_22,spont_count_23,spont_count_24,spont_count_25,spont_count_26,spont_count_27,spont_count_28,spont_time_ 1,spont_time_ 2,spont_time_ 3,spont_time_ 4,spont_time_ 5,spont_time_ 6,spont_time_ 7,spont_time_ 8,spont_time_ 9,spont_time_10,spont_time_11,spont_time_12,spont_time_13,spont_time_14,spont_time_15,spont_time_16,spont_time_17,spont_time_18,spont_time_19,spont_time_20,spont_time_21,spont_time_22,spont_time_23,spont_time_24,spont_time_25,spont_time_26,spont_time_27,spont_time_28,pupil_ 1,pupil_ 2,pupil_ 3,pupil_ 4,pupil_ 5,pupil_ 6,pupil_ 7,pupil_ 8,pupil_ 9,pupil_10,pupil_11,pupil_12,pupil_13,pupil_14,pupil_15,pupil_16,pupil_17,pupil_18,pupil_19,pupil_20,pupil_21,pupil_22,pupil_23,pupil_24,pupil_25,pupil_26,pupil_27,pupil_28,level_ 1,level_ 2,level_ 3,level_ 4,level_ 5,level_ 6,level_ 7,level_ 8,level_ 9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20,level_21,level_22,level_23,level_24,level_25,level_26,level_27,level_28
BOL005c-37-1,3,5,11,8,7,11,4,8,10,8,11,4,5,5,,,,,,,,,,,,,,,2.19,2.22,2.72,2.84,2.77,2.71,2.41,2.61,2.58,2.08,1.96,2.03,2.09,2.39,,,,,,,,,,,,,,,64,64,64,64,64,64,64,89,89,89,89,89,89,89,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-44-1,84,109,140,140,75,50,39,119,175,137,124,70,48,59,,,,,,,,,,,,,,,2.19,2.22,2.72,2.84,2.77,2.71,2.41,2.61,2.58,2.08,1.96,2.03,2.09,2.39,,,,,,,,,,,,,,,763,763,763,763,763,763,763,1409,1409,1409,1409,1409,1409,1409,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL005c-48-1,4,1,3,0,1,1,1,3,2,3,1,0,1,0,,,,,,,,,,,,,,,2.51,1.93,2.53,2.58,2.54,2.64,2.76,2.29,2.87,2.27,2.22,2.26,2.16,2.04,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,66.03,66.03,66.03,66.03,66.03,66.03,66.03,85.97,85.97,85.97,85.97,85.97,85.97,85.97,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-02-1,0,0,1,1,0,1,2,1,1,2,0,1,1,1,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,102,102,102,102,102,102,102,46,46,46,46,46,46,46,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-07-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,8,8,8,8,8,8,8,6,6,6,6,6,6,6,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,15,15,15,15,15,15,15,4,4,4,4,4,4,4,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-13-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2.28,1.94,2.31,2.49,2.34,2.51,2.36,2.52,2.62,2.49,2.31,2.46,2.29,2.44,,,,,,,,,,,,,,,9,9,9,9,9,9,9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-16-1,118,31,29,11,15,12,6,133,47,38,30,18,19,9,,,,,,,,,,,,,,,2.32,2.16,2.22,2.27,2.37,2.22,2.24,2.48,2.64,2.34,2.53,2.43,2.58,2.56,,,,,,,,,,,,,,,19,19,19,19,19,19,19,31,31,31,31,31,31,31,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-18-1,7,2,1,1,2,2,1,11,3,2,2,2,1,2,,,,,,,,,,,,,,,2.52,2.41,2.32,2.15,2.63,2.38,2.38,2.04,2.39,2.48,2.17,1.93,2.42,2.18,,,,,,,,,,,,,,,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
BOL006b-18-2,85,113,121,97,68,77,94,91,134,124,150,78,78,106,,,,,,,,,,,,,,,2.27,2.46,2.64,2.03,2.6,2.17,2.34,2.29,2.34,2.16,2.77,2.2,2.63,2.22,,,,,,,,,,,,,,,1012,1012,1012,1012,1012,1012,1012,1495,1495,1495,1495,1495,1495,1495,,,,,,,,,,,,,,,76.97,76.97,76.97,76.97,76.97,76.97,76.97,75.03,75.03,75.03,75.03,75.03,75.03,75.03,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,65,55,45,35,25,15,5,65,55,45,35,25,15,5,,,,,,,,,,,,,,
